country,Region indicator,"Life ladder, 2015-2017","Standard error, life ladder, 2015-2017","Log of GDP per person, 2015-2017","GDP per person, 2015-2017","Healthy life expectancy, 2015-2017","Social support, 2015-2017","Standard error, social support, 2015-2017","Freedom to make life choices, 2015-2017","Standard error, freedom to make life choices, 2015-2017","Generosity, 2015-2017, without adjustment for GDP per person","Standard error, generosity, 2015-2017","Perceptions of corruption, 2015-2017","Standard error, perceptions of corruption, 2015-2017"
Kazakhstan,Commonwealth of Independent States,5.79005336761475,0.0412038862705231,10.0666618347168,23544.8359375,63.8649444580078,0.925234258174896,0.00557107292115688,0.755724132061005,0.00928698386996984,0.314800053834915,0.00980279874056578,0.723837792873383,0.00999938789755106
Kenya,Sub-Saharan Africa,4.40970706939697,0.0528586991131306,7.9804630279541,2923.28442382813,58.2969131469727,0.733782470226288,0.0100180227309465,0.797864198684692,0.0089223301038146,0.469630509614944,0.0111225675791502,0.84487384557724,0.00691537372767925
Kosovo,Central and Eastern Europe,5.66214895248413,0.0482990890741348,9.14228343963623,9342.0732421875,,0.808084726333618,0.00817025173455477,0.751152515411377,0.00899379048496485,0.429290354251862,0.0102172270417213,0.904268085956573,0.00542102940380573
Kuwait,Middle East and North Africa,6.08338689804077,0.0445102453231812,11.1300249099731,68188.0703125,65.2445449829102,0.837385177612305,0.00706178089603782,0.840411305427551,0.00677912542596459,0.425504118204117,0.00938935577869415,,
Kyrgyzstan,Commonwealth of Independent States,5.1307544708252,0.0438557118177414,8.09799003601074,3287.85302734375,62.68017578125,0.884335458278656,0.00702087162062526,0.828307032585144,0.00858616549521685,0.368075966835022,0.0107598705217242,0.882819533348083,0.0068438621237874
Laos,Southeast Asia,4.62314081192017,0.076725073158741,8.70856761932373,6054.56396484375,57.8695755004883,0.727889597415924,0.0182567425072193,0.900917172431946,0.0126516604796052,0.371115684509277,0.0193285178393126,0.626053154468536,0.0220534224063158
Latvia,Central and Eastern Europe,5.93308591842651,0.0359207466244698,10.0839471817017,23955.35546875,65.109260559082,0.89983195066452,0.00634272815659642,0.679467141628265,0.00996190309524536,0.228871494531631,0.0083392197266221,0.824202656745911,0.00791083928197622
Lebanon,Middle East and North Africa,5.198890209198,0.0452248007059097,9.49471664428711,13289.3291015625,68.7156372070313,0.782185673713684,0.00883088912814856,0.619498729705811,0.010211537592113,0.329722315073013,0.00978050474077463,0.884623825550079,0.00556017039343715
Lesotho,Sub-Saharan Africa,3.80820488929749,0.120583616197109,7.914381980896,2736.35498046875,46.4804000854492,0.802021265029907,0.0152144813910127,0.729934275150299,0.0173007119446993,0.0975478291511536,0.0111654559150338,0.740821719169617,0.0154930511489511
Liberia,Sub-Saharan Africa,3.49537587165833,0.0648471862077713,6.64014339447021,765.204711914063,52.3855781555176,0.656341314315796,0.0101485010236502,0.726524651050568,0.00979777984321117,0.140305057168007,0.0072221402078867,0.891234457492828,0.00610051536932588
Libya,Middle East and North Africa,5.56573534011841,0.061633188277483,9.56090068817139,14198.62890625,61.3899879455566,0.857142567634583,0.00858473498374224,0.79132354259491,0.00946064107120037,0.245409578084946,0.00985004566609859,0.67307585477829,0.0163598470389843
Lithuania,Central and Eastern Europe,5.95188999176025,0.0435102730989456,10.2408037185669,28023.640625,66.5154113769531,0.929589509963989,0.00553068658336997,0.668457567691803,0.0106152752414346,0.139114007353783,0.00716166291385889,0.93492066860199,0.00578566594049335
Luxembourg,Western Europe,6.90994453430176,0.0333780087530613,11.4587860107422,94730,72.2013092041016,0.926702618598938,0.00602709548547864,0.905802071094513,0.00709441537037492,0.496345549821854,0.0112986816093326,0.354121446609497,0.00986555684357882
Macedonia,Central and Eastern Europe,5.18480634689331,0.0478088334202766,9.47803688049316,13069.50390625,65.7304306030273,0.811981856822968,0.00864036753773689,0.70600026845932,0.00999397784471512,0.307578921318054,0.00978478789329529,0.849811911582947,0.00762606412172318
Madagascar,Sub-Saharan Africa,3.77362942695618,0.0426757223904133,7.23948669433594,1393.37854003906,56.6400032043457,0.676454842090607,0.010908929631114,0.560127675533295,0.0114569133147597,0.105848133563995,0.00684563210234046,0.857063889503479,0.00779107864946127
